Chamber,Start Time,End Time
SC,346.9,386.8
SC,386.8,392.3666666666667
SC,407.03333333333336,415.23333333333335
SC,469.6666666666667,481.1
SC,494.0,512.7666666666667
SC,512.7666666666667,519.8666666666667
SC,519.8666666666667,526.2
NSC,0,65.0
NSC,88.8,108.96666666666667
NSC,108.96666666666667,133.26666666666668
NSC,208.83333333333334,225.4
NSC,225.4,243.5
NSC,243.5,248.86666666666667
NSC,255.5,274.96666666666664
NSC,274.96666666666664,291.3666666666667
NSC,315.1333333333333,331.23333333333335
NSC,532.1666666666666,545.4
NSC,545.4,607.0666666666667
NSC,607.0666666666667,614.6
NSC,614.6,697.4333333333333
NSC,794.8333333333334,819.8666666666667
NSC,819.8666666666667,832.0
NSC,842.5,864.5
NSC,864.5,917.2
Neither,65.0,88.8
Neither,133.26666666666668,174.1
Neither,174.1,189.53333333333333
Neither,189.53333333333333,208.83333333333334
Neither,248.86666666666667,255.5
Neither,291.3666666666667,315.1333333333333
Neither,331.23333333333335,346.9
Neither,392.3666666666667,407.03333333333336
Neither,415.23333333333335,433.6666666666667
Neither,433.6666666666667,469.6666666666667
Neither,481.1,494.0
Neither,526.2,532.1666666666666
Neither,697.4333333333333,756.2
Neither,756.2,794.8333333333334
Neither,832.0,842.5
